series_id,station_id,station,river,var_id,network,lat,lon,cat_start,cat_end
108,108,San Roque,SANTALUCIA,2,alturas_bdhi,-28.5711388888889,-58.7214166666667,2009-01-01T18:00:00,2026-04-30T08:00:00
29869,108,San Roque,SANTALUCIA,39,alturas_bdhi,-28.5711388888889,-58.7214166666667,2009-01-01T00:00:00,2026-04-30T00:00:00
29870,109,Paso Lucero,CORRIENTE,39,alturas_bdhi,-28.9943611111111,-58.5593888888889,2001-05-01T00:00:00,2026-04-30T00:00:00
110,110,Segui,LASCONCHAS,2,alturas_bdhi,-31.95,-60.1263888888889,2019-08-07T09:00:00,2026-04-30T21:00:00
111,111,Límite con Entre Ríos – Ruta Provincial nº 28,GUAYQUIRARO,2,alturas_bdhi,-30.2166388888889,-58.7846388888889,2015-05-01T09:00:00,2025-11-30T12:00:00
29873,112,Nogoyá Ruta Provincial nº 11,NOGOYA,39,alturas_bdhi,-32.841975,-59.864625,2001-05-01T00:00:00,2026-04-30T00:00:00
29875,116,Ruta Nacional Nº 12,NOGOYA,39,alturas_bdhi,-32.3946388888889,-59.7638611111111,2009-03-16T00:00:00,2026-04-30T00:00:00
118,118,Pueblo Andino,CARCARAÑA,2,alturas_bdhi,-32.6733333333333,-60.8659444444444,2001-05-01T09:00:00,2026-04-30T23:00:00
119,119,Paso Juncué,GUAYQUIRARO,2,alturas_bdhi,-30.3616388888889,-59.2586944444444,2001-05-01T09:00:00,2012-05-20T04:00:00
29877,119,Paso Juncué,GUAYQUIRARO,39,alturas_bdhi,-30.3616388888889,-59.2586944444444,2001-05-01T00:00:00,2012-05-20T00:00:00
120,120,Paso Telégrafo,GUAYQUIRARO,2,alturas_bdhi,-30.34375,-59.5129722222222,2015-06-28T09:00:00,2016-07-30T12:00:00
121,121,Los Laureles,CORRIENTE,2,alturas_bdhi,-29.7571111111111,-59.2171666666667,2001-05-01T09:00:00,2026-03-31T12:00:00
29879,121,Los Laureles,CORRIENTE,39,alturas_bdhi,-29.7571111111111,-59.2171666666667,2001-05-01T00:00:00,2026-03-31T00:00:00
122,122,Ruta Nacional nº 168,COLASTINE,2,alturas_bdhi,-31.6611388888889,-60.6020555555556,2001-05-01T09:00:00,2026-04-30T23:00:00
123,123,Autopista,COLASTINE,2,alturas_bdhi,-32.0178611111111,-60.990275,2011-10-08T10:00:00,2017-12-30T10:00:00
124,124,Autopista,SALADILLO,2,alturas_bdhi,-33.0272222222222,-60.6635555555556,2016-01-01T00:00:00,2016-12-31T23:40:00
29884,126,Villa Ocampo (Ruta Prov. Nº 32),LOSAMORES,39,alturas_bdhi,-28.4912222222222,-59.3879444444444,2001-05-01T00:00:00,2026-04-30T00:00:00
127,127,Moussy,ELREY,2,alturas_bdhi,-28.9979166666667,-59.7526111111111,2001-05-01T09:00:00,2024-12-31T09:00:00
29885,127,Moussy,ELREY,39,alturas_bdhi,-28.9979166666667,-59.7526111111111,2001-05-01T00:00:00,2024-12-31T00:00:00
128,128,Fortín Olmos,GOLONDRINA,2,alturas_bdhi,-29.0655,-60.4971666666667,2001-05-01T09:00:00,2026-04-30T08:00:00
29886,128,Fortín Olmos,GOLONDRINA,39,alturas_bdhi,-29.0655,-60.4971666666667,2001-05-01T00:00:00,2026-04-30T00:00:00
130,130,Paso Ledesma,MIRIÑAY,2,alturas_bdhi,-29.8458,-57.6745111111111,2001-05-01T12:00:00,2026-04-30T12:00:00
29888,130,Paso Ledesma,MIRIÑAY,39,alturas_bdhi,-29.8458,-57.6745111111111,2001-05-01T00:00:00,2026-04-30T00:00:00
131,131,Puerto Maní,PARANAMED,2,alturas_prefe,-27.1063611111111,-55.5221666666667,2016-08-10T00:00:00,2024-10-24T02:00:00
26342,131,Puerto Maní,PARANAMED,39,alturas_prefe,-27.1063611111111,-55.5221666666667,2016-08-10T00:00:00,2024-10-22T00:00:00
133,133,La Emilia,DELMEDIO,2,alturas_bdhi,-33.3989194444444,-60.3346777777778,2001-05-01T09:00:00,2026-04-30T08:00:00
29889,133,La Emilia,DELMEDIO,39,alturas_bdhi,-33.3989194444444,-60.3346777777778,2001-05-01T00:00:00,2026-04-30T00:00:00
134,134,Ruta Nacional nº 12,SANLORENZO,2,alturas_bdhi,-28.1141666666667,-58.8086111111111,2009-05-01T06:00:00,2026-04-30T08:00:00
139,139,Ruta Provincial nº 18,SALADILLO,2,alturas_bdhi,-33.02925,-60.6820277777778,2001-05-01T14:00:00,2026-04-30T08:00:00
140,140,Cnel. Bogado,PAVON,2,alturas_bdhi,-33.3600611111111,-60.576775,2001-05-01T09:00:00,2026-04-30T08:00:00
29894,140,Cnel. Bogado,PAVON,39,alturas_bdhi,-33.3600611111111,-60.576775,2001-05-01T00:00:00,2026-04-30T00:00:00
147,147,Cachi,CALCHAQUI,2,alturas_bdhi,-25.123332,-66.156666,2009-02-01T09:00:00,2026-04-30T21:00:00
29897,147,Cachi,CALCHAQUI,39,alturas_bdhi,-25.123332,-66.156666,2009-02-01T00:00:00,2026-04-30T00:00:00
29898,148,Seminario Diocesano de Azul,AZUL,39,alturas_bdhi,-36.831082,-59.893888,2015-08-01T00:00:00,2026-04-30T00:00:00
170,170,Ruta Provincial Nº 044,Poncho Moro,2,alturas_bdhi,-43.6683333333333,-71.4061388888889,2001-05-01T09:00:00,2026-04-30T09:00:00
174,174,San Justo - Ruta Provincial nº 2,SALADOSANTAFE,2,alturas_bdhi,-30.744031,-60.624247,2017-01-05T00:00:00,2026-08-08T08:58:00
29902,174,San Justo - Ruta Provincial nº 2,SALADOSANTAFE,39,alturas_bdhi,-30.744031,-60.624247,2017-01-05T00:00:00,2026-08-05T00:00:00
29903,175,Emilia - Ruta Provincial nº 62,Salado Santafesino,39,alturas_bdhi,-31.042868,-60.841003,2015-10-24T00:00:00,2026-08-06T00:00:00
319,319,La Sirena,AGUAPEY,2,alturas_bdhi,-28.4166666666667,-56.5421666666667,2001-05-01T09:00:00,2019-05-30T12:00:00
29904,319,La Sirena,AGUAPEY,39,alturas_bdhi,-28.4166666666667,-56.5421666666667,2001-05-01T00:00:00,2019-05-30T00:00:00
29907,1091,Gral. Alvear,Arroyo Las Flores,39,alturas_bdhi,-35.987583333,-60.019236111,2015-04-01T00:00:00,2026-04-30T00:00:00
29908,1092,RN2,Canal 9,39,alturas_bdhi,-36.2803833333333,-57.6994916666667,2015-04-01T00:00:00,2026-04-30T00:00:00
26385,1257,Arroyo Borches,Arroyo Borches,39,ina_delta,-34.0752137139779,-58.4426647718186,2018-03-15T00:00:00,2025-09-23T00:00:00
29909,1678,Paso Duarte - RP 22,Gualeguay,39,alturas_bdhi,-31.1051388888889,-58.7711666666667,2015-05-01T00:00:00,2026-04-30T00:00:00
29911,1679,Santo Tomé,SALADOSANTAFE,39,alturas_bdhi,-31.667601,-60.752233,2018-02-05T00:00:00,2026-08-07T00:00:00
3045,1680,Cululú - RP50-s,SALADOSANTAFE,2,alturas_bdhi,-31.254531,-60.887765,2018-02-05T00:00:00,2026-08-08T08:59:00
29912,1680,Cululú - RP50-s,SALADOSANTAFE,39,alturas_bdhi,-31.254531,-60.887765,2018-02-05T00:00:00,2026-08-07T00:00:00
3280,1699,Nueva Palmira,Uruguay,2,alturas_varios,-33.878478,-58.422029,2026-05-24T00:30:00,2026-08-30T21:00:00
26390,1702,Braga,,39,estaciones_pvnymm,-34.3363990783691,-58.4844017028809,2017-01-01T00:00:00,2021-07-30T00:00:00
3311,1705,Brasileira,,2,estaciones_pvnymm,-35.1744003295898,-56.6105995178223,2017-01-01T00:00:00,2020-06-25T12:00:00
26393,1705,Brasileira,,39,estaciones_pvnymm,-35.1744003295898,-56.6105995178223,2017-01-01T00:00:00,2020-06-25T00:00:00
3312,1706,Oyarvide,,2,estaciones_pvnymm,-35.0999984741211,-57.13330078125,2012-02-12T18:45:00,2026-08-30T20:45:00
26394,1706,Oyarvide,,39,estaciones_pvnymm,-35.0999984741211,-57.13330078125,2012-02-12T00:00:00,2026-08-29T00:00:00
3313,1707,Magadalena,,2,estaciones_pvnymm,-34.9300003051758,-57.4617004394531,2017-01-01T00:00:00,2020-06-19T05:00:00
26396,1708,La Plata,,39,estaciones_pvnymm,-34.8339004516602,-57.8800010681152,2012-02-12T00:00:00,2026-08-29T00:00:00
3315,1709,Buenos Aires,,2,estaciones_pvnymm,-34.6305999755859,-58.3516998291016,2017-10-24T10:00:00,2021-07-30T08:40:00
26397,1709,Buenos Aires,,39,estaciones_pvnymm,-34.6305999755859,-58.3516998291016,2017-10-24T00:00:00,2021-07-30T00:00:00
3316,1710,Desembocadura,,2,estaciones_pvnymm,-33.997200012207,-58.4702987670898,2017-07-04T15:00:00,2020-07-20T08:30:00
3317,1711,Las Rosas,,2,estaciones_pvnymm,-34.1836013793945,-58.8894004821777,2017-06-28T00:00:00,2021-07-29T18:30:00
26399,1711,Las Rosas,,39,estaciones_pvnymm,-34.1836013793945,-58.8894004821777,2017-06-28T00:00:00,2021-07-29T00:00:00
3318,1712,Carabelitas,,2,estaciones_pvnymm,-33.9491996765137,-58.7689018249512,2017-07-04T00:00:00,2021-07-30T08:30:00
3319,1713,Zárate,,2,estaciones_pvnymm,-34.0918998718262,-59.0139007568359,2017-01-01T00:00:00,2021-07-29T21:30:00
26402,1714,Baradero,,39,estaciones_pvnymm,-33.9366989135742,-59.2578010559082,2017-02-09T00:00:00,2021-07-29T00:00:00
26403,1715,Brazo Largo,,39,estaciones_pvnymm,-33.8880996704102,-58.9166984558105,2017-07-03T00:00:00,2021-05-28T00:00:00
3322,1716,Ibicuy,,2,estaciones_pvnymm,-33.755298614502,-59.1786003112793,2017-01-01T00:00:00,2021-07-29T09:00:00
26404,1716,Ibicuy,,39,estaciones_pvnymm,-33.755298614502,-59.1786003112793,2017-01-01T00:00:00,2021-07-29T00:00:00
26405,1717,Bifurcación,,39,estaciones_pvnymm,-33.7224998474121,-59.2907981872559,2017-01-01T00:00:00,2021-07-29T00:00:00
3325,1719,Ramallo,,2,estaciones_pvnymm,-33.4766998291016,-59.997501373291,2017-09-27T00:00:00,2021-07-30T06:00:00
3326,1720,San Nicolas,,2,estaciones_pvnymm,-33.323600769043,-60.2181015014648,2017-01-01T00:00:00,2021-07-30T06:00:00
3327,1721,Villa Constitución,,2,estaciones_pvnymm,-33.2263984680176,-60.3213996887207,2000-01-01T00:00:00,2021-07-30T06:00:00
3328,1722,Rosario,,2,estaciones_pvnymm,-32.9730987548828,-60.6183013916016,2017-01-01T00:00:00,2021-07-30T06:00:00
3330,1724,Paraná,,2,estaciones_pvnymm,-31.7208003997803,-60.5155982971191,2017-01-01T00:00:00,2021-06-09T12:00:00
