series_id,station,river,var_id,network,lat,lon,years,record_start,start_source,donor,donor_km
26501,Mendoza - Guido,,39,sat2,-32.9152777777778,-69.2377777777778,7.7,2019-04-27,catalogue,EL DURAZNO - LA FLORIDA,424.2
34342,Carcarañá - Cruz Alta,,2,sat2,-33.0063888888889,-61.7875,3.7,2023-02-07,catalogue,Carcaraña - Cruz Alta,0.1
28,Hernandarias,PARANAINF,2,alturas_prefe,-31.22650904,-59.99193936,114.7,1912-01-02,catalogue,,
38539,Vizcachas - Cerro Palique,,101,sat2,-50.9961111111111,-72.1063888888889,2.7,2024-09-16,catalogue,Vizcachas - Cerro Palique,0.0
26287,Ibicuy,PARANAIBICUY,39,alturas_prefe,-33.7619777376355,-59.1800594404244,43.7,1983-01-01,catalogue,,
8,Andresito,IGUAZU,2,alturas_prefe,-25.5833333333333,-53.9833333333333,42.7,1984-01-01,catalogue,,
34118,Bella Vista -  Radman,,2,sat2,-53.9983333333333,-68.5947222222222,1.7,2025-02-13,catalogue,Gallegos - Toma de Agua SP,266.5
34033,Quinto - Dique Villa Mercedes,,2,sat2,-33.6538888888889,-65.5336111111111,3.7,2023-02-07,catalogue,EL DURAZNO - LA FLORIDA,172.8
33393,Bermejo - Azud los Colorados,,2,sat2,-29.2580555555556,-68.2525,2.7,2024-09-13,catalogue,Dulce - Dique los Quiroga,420.1
38208,CIRHBAS - LIM Aº RETOBADO - CRESPO,,39,sat2,-30.3375,-60.6288888888889,2.7,2024-09-14,catalogue,San Justo - Ruta Provincial nº 2,45.2
38441,Paraná Guazú - Brazo Largo,Paraná Guazú,101,sat2,-33.8830555555556,-58.9,2.7,2024-09-16,catalogue,Puente Jáuregui,82.6
38695,Miriñay - San Roquito,,101,sat2,-29.2969444444444,-57.5655555555556,2.7,2024-09-16,catalogue,Miriñay - San Roquito,0.0
9443,Lago Epuyen - Muelle,,2,sat2,-42.2083333333333,-71.4227777777778,5.7,2021-08-31,catalogue,EPUYÉN - MUELLE,0.4
