series_id,station_id,station,river,variable,var_id,unit,network,province,procedure,lat,lon,live,percentiles
29612,38,San Pedro,PARANAINF,Altura hidrométrica media mensual,33,,alturas_prefe,,,-33.6745267329027,-59.6497183332918,True,
3418,39,Baradero,BARADERO,Altura hidrométrica,2,,alturas_prefe,,,-33.8006916108445,-59.4955962110789,True,
3445,39,Baradero,BARADERO,Altura hidrométrica,2,,alturas_prefe,,,-33.8006916108445,-59.4955962110789,True,False
888,39,Baradero,BARADERO,Caudal,4,,alturas_prefe,,,-33.8006916108445,-59.4955962110789,True,
3472,39,Baradero,BARADERO,Caudal,4,,alturas_prefe,,,-33.8006916108445,-59.4955962110789,True,
3499,39,Baradero,BARADERO,Caudal,4,,alturas_prefe,,,-33.8006916108445,-59.4955962110789,True,
3537,39,Baradero,BARADERO,Altura hidrométrica media mensual,33,,alturas_prefe,,,-33.8006916108445,-59.4955962110789,True,
26281,39,Baradero,BARADERO,Altura hidrométrica media diaria,39,,alturas_prefe,,,-33.8006916108445,-59.4955962110789,True,
26636,39,Baradero,BARADERO,Caudal medio diario,40,,alturas_prefe,,,-33.8006916108445,-59.4955962110789,True,
3510,40,Zárate,PARANADELASPALMAS,Altura hidrométrica,2,,alturas_prefe,,,-34.0987818311696,-59.0108657589595,True,
3509,40,Zárate,PARANADELASPALMAS,Caudal,4,,alturas_prefe,,,-34.0987818311696,-59.0108657589595,True,
3538,40,Zárate,PARANADELASPALMAS,Altura hidrométrica media mensual,33,,alturas_prefe,,,-34.0987818311696,-59.0108657589595,True,
26282,40,Zárate,PARANADELASPALMAS,Altura hidrométrica media diaria,39,,alturas_prefe,,,-34.0987818311696,-59.0108657589595,True,
26637,40,Zárate,PARANADELASPALMAS,Caudal medio diario,40,,alturas_prefe,,,-34.0987818311696,-59.0108657589595,True,
41,41,Campana,PARANADELASPALMAS,Altura hidrométrica,2,,alturas_prefe,,,-34.1555854281116,-58.9581750062675,True,
25519,41,Campana,PARANADELASPALMAS,Altura hidrométrica media mensual,33,,alturas_prefe,,,-34.1555854281116,-58.9581750062675,True,
3398,42,Escobar,PARANADELASPALMAS,Altura hidrométrica,2,,alturas_prefe,,,-34.3,-58.7333333333,True,
