series_id,station,river,network,lat,lon,cat_start,cat_end,donor_series_id,donor_station,donor_river,match_type,match_km,river_agrees,combined_years,tier
34224,Areco - San Antonio de Areco,,sat2,-34.2405555555556,-59.4994444444444,2024-09-13T16:00:00,2026-08-30T21:00:00,,,,,,,2.0,3
34314,Lag. La Picasa - Escollera FFC,,sat2,-34.3372222222222,-62.3247222222222,2024-09-13T16:00:00,2026-08-30T21:00:00,,,,,,,2.0,3
33832,Del Valle - Huaycama,,sat2,-28.1202777777778,-65.7980555555555,2024-09-13T16:00:00,2026-08-30T20:00:00,,,,,,,2.0,3
38197,Piray Guazú - Pinar Ciba,,sat2,-26.5119444444444,-54.4536111111111,2024-09-14T00:00:00,2026-08-29T00:00:00,6484,Piray Guazú - Pinar Ciba,Piray Guazú,coords,0.02,unknown,25.3,2
36693,Santa Lucia - San Roque,,sat2,-28.57,-58.7177777777778,2024-09-13T16:00:00,2026-08-30T20:00:00,108,San Roque,SANTALUCIA,coords,0.38,unknown,17.7,2
38202,Santa Lucia - San Roque,,sat2,-28.57,-58.7177777777778,2024-09-14T00:00:00,2026-08-29T00:00:00,108,San Roque,SANTALUCIA,coords,0.38,unknown,17.7,2
36694,San Javier - Romang,,sat2,-29.505,-59.74,2024-09-13T16:00:00,2026-08-30T21:00:00,6244,San Javier - Romang,San Javier,coords,0.03,unknown,25.3,2
38203,San Javier - Romang,,sat2,-29.505,-59.74,2024-09-14T00:00:00,2026-08-29T00:00:00,6244,San Javier - Romang,San Javier,coords,0.03,unknown,25.3,2
36723,CIRHBAS - LIM  Aº TAPENAGA - ESTANCIA TAPENAGA,,sat2,-27.5672222222222,-59.6588888888889,2024-09-14T03:00:00,2026-08-30T15:00:00,,,,,,,2.0,3
38206,CIRHBAS - LIM  LAGUNA EL BONETE,,sat2,-29.3880555555556,-60.5469444444444,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
36726,CIRHBAS - LIM Aº RETOBADO - CRESPO,,sat2,-30.3375,-60.6288888888889,2024-09-14T03:00:00,2026-08-30T16:00:00,,,,,,,2.0,3
38209,CIRHBAS - LIM BAJO CHOROTIS-RN 95,,sat2,-28.0886111111111,-61.3519444444444,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38210,CIRHBAS - LIM CANAL INTERLAGOS-CANAL INTERLAGOS,,sat2,-28.9947222222222,-60.5691666666667,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38211,CIRHBAS - LIM CANAL LINEA PARANA TRAMO IV,,sat2,-27.9977777777778,-60.7155555555556,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38214,CIRHBAS - LIM LOS AMORES - CAN,,sat2,-28.1102777777778,-59.9755555555556,2024-09-14T00:00:00,2026-08-29T00:00:00,6285,Canal Línea Paraná - Rp Nº 3,Canal lí­nea Paraná,coords,0.03,unknown,16.4,2
36733,CIRHBAS - LIM MOJON DE FIERRO-CANAL INTERPROVINCIA,,sat2,-29.1316666666667,-61.9016666666667,2024-09-14T03:00:00,2026-08-30T15:00:00,,,,,,,2.0,3
38215,CIRHBAS - LIM MOJON DE FIERRO-CANAL INTERPROVINCIA,,sat2,-29.1316666666667,-61.9016666666667,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38217,CIRHBAS - LIM VILLA GUILLERMINA-ARROYO LOS AMORES,,sat2,-28.2744444444444,-59.4216666666667,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38219,Aguapey - Caá Caraí,,sat2,-27.8244444444444,-56.2583333333333,2024-09-14T00:00:00,2026-08-29T00:00:00,30097,Aguapey - Caa Caraí,Aguapey,coords,0.01,unknown,2.2,3
36828,Anizacate - Santa Ana,,sat2,-31.6908333333333,-64.5375,2024-09-13T16:00:00,2026-08-30T16:00:00,,,,,,,2.0,3
36829,Aº Cululú - Grutly,,sat2,-31.2933333333333,-60.9788888888889,2024-09-13T16:00:00,2026-08-30T20:00:00,,,,,,,2.0,3
38221,Aº Cululú - Grutly,,sat2,-31.2933333333333,-60.9788888888889,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
36831,Aº Esquel - Ea El Principio,,sat2,-42.9583333333333,-71.3844444444445,2024-09-13T16:00:00,2026-08-30T21:00:00,30036,ESQUEL - ESTANCIA EL PRINCIPIO,Esquel,coords,0.01,unknown,2.2,3
38222,Aº Esquel - Ea El Principio,,sat2,-42.9583333333333,-71.3844444444445,2024-09-14T00:00:00,2026-08-29T00:00:00,30036,ESQUEL - ESTANCIA EL PRINCIPIO,Esquel,coords,0.01,unknown,2.2,3
36833,Aº Golondrina - Fortín Olmos,,sat2,-29.0655555555556,-60.4969444444444,2024-12-17T17:01:00,2026-08-30T21:00:00,128,Fortín Olmos,GOLONDRINA,coords,0.02,unknown,25.3,2
38224,Aº Golondrina - Fortín Olmos,,sat2,-29.0655555555556,-60.4969444444444,2024-12-18T00:00:00,2026-08-29T00:00:00,128,Fortín Olmos,GOLONDRINA,coords,0.02,unknown,25.3,2
38225,Aº Los Amores - RN Nº11,,sat2,-28.5558333333333,-59.3558333333333,2024-09-14T00:00:00,2026-08-29T00:00:00,29955,Los Amores - Ruta Nacional Nº 011,Los Amores,coords,0.01,unknown,25.3,2
36840,Aº Pilagá - RN Nº11,,sat2,-25.9844444444444,-58.1625,2024-09-13T16:00:00,2026-08-29T12:00:00,6516,Pilagá - Rn Nº 11,Pilagá,coords,0.07,unknown,2.0,3
38228,Aº Pilagá - RN Nº11,,sat2,-25.9844444444444,-58.1625,2024-09-14T00:00:00,2026-08-29T00:00:00,6516,Pilagá - Rn Nº 11,Pilagá,coords,0.07,unknown,2.0,3
36841,Aº Saladillo Amargo - RP Nº 81,,sat2,-30.8402777777778,-60.4127777777778,2024-09-13T16:00:00,2026-08-25T04:00:00,6235,Saladillo Amargo - Vera Mujica (RP 281),Saladillo Amargo,coords,0.21,unknown,25.3,2
36842,Aº Saladillo Dulce - RP Nº 81,,sat2,-30.8547222222222,-60.2822222222222,2024-09-13T16:00:00,2026-08-30T20:00:00,29967,Saladillo Dulce - La Noria (RP 281),Saladillo Dulce,coords,0.01,unknown,25.3,2
38232,Aº Vallimanca - RN 226,,sat2,-36.3711111111111,-60.9555555555556,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38237,Bermejo - Santa Victoria Oeste,,sat2,-22.2486111111111,-64.9613888888889,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38238,Blanco - Angualasto,,sat2,-30.0505555555556,-69.17,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
36870,Calchaquí - Cachi,,sat2,-25.1205555555556,-66.1588888888889,2024-10-17T13:00:00,2026-08-30T21:00:00,147,Cachi,CALCHAQUI,coords,0.38,unknown,17.6,2
38239,Calchaquí - Cachi,,sat2,-25.1205555555556,-66.1588888888889,2024-10-17T00:00:00,2026-08-29T00:00:00,147,Cachi,CALCHAQUI,coords,0.38,unknown,17.6,2
36873,Carrenleufú - Jaramillo,,sat2,-43.8416666666667,-71.2494444444444,2024-09-14T16:00:00,2026-08-30T16:00:00,,,,,,,2.0,3
38242,Carrenleufú - Jaramillo,,sat2,-43.8416666666667,-71.2494444444444,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
36875,Carrenleufú - Puente de Hierro,,sat2,-43.5436111111111,-71.4872222222222,2024-09-13T16:00:00,2026-08-30T16:00:00,6411,CARRENLEUFÚ - PUENTE DE HIERRO,Carrenleufú,coords,0.1,unknown,7.1,3
38243,Carrenleufú - Puente de Hierro,,sat2,-43.5436111111111,-71.4872222222222,2024-09-14T00:00:00,2026-08-29T00:00:00,6411,CARRENLEUFÚ - PUENTE DE HIERRO,Carrenleufú,coords,0.1,unknown,7.1,3
36888,Chubut - Paso del Sapo,,sat2,-42.7408333333333,-69.5947222222222,2024-09-13T16:00:00,2026-08-30T21:00:00,6445,Chubut - Paso del Sapo,Chubut,coords,0.01,unknown,7.1,3
38246,Chubut - Paso del Sapo,,sat2,-42.7408333333333,-69.5947222222222,2024-09-14T00:00:00,2026-08-29T00:00:00,6445,Chubut - Paso del Sapo,Chubut,coords,0.01,unknown,7.1,3
38247,Diamante - Monte Comán,,sat2,-34.5705555555556,-67.865,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
36916,Dulce - Paso de Oscares,,sat2,-29.2533333333333,-63.2069444444444,2024-09-13T16:00:00,2026-08-30T20:00:00,,,,,,,2.0,3
36918,Durazno - La Florida,,sat2,-32.2158333333333,-64.7658333333333,2024-12-20T12:00:00,2026-08-30T16:00:00,,,,,,,1.7,3
38252,Durazno - La Florida,,sat2,-32.2158333333333,-64.7658333333333,2024-12-20T00:00:00,2026-08-29T00:00:00,,,,,,,1.7,3
36959,Gualeguaychú - RN Nº 130,,sat2,-32.1047222222222,-58.4905555555556,2025-03-13T19:00:00,2026-08-30T13:00:00,102,Ruta Nacional nº 130,GUALEGUAYCHU,coords,0.01,unknown,25.3,2
38258,Gualeguaychú - RN Nº 130,,sat2,-32.1047222222222,-58.4905555555556,2025-03-13T00:00:00,2026-08-29T00:00:00,102,Ruta Nacional nº 130,GUALEGUAYCHU,coords,0.01,unknown,25.3,2
38259,Gualeguaychú - RN Nº 39,,sat2,-32.445,-58.5547222222222,2024-10-09T00:00:00,2026-08-29T00:00:00,1,Ruta Provincial nº 39,GUALEGUAYCHU,coords,0.02,unknown,25.3,2
36962,Guayquiraró - La Grela,,sat2,-30.3463888888889,-59.3005555555556,2024-09-13T16:00:00,2026-08-30T16:00:00,30091,Guayquiraró- La Grela,Guayquiraró,coords,0.02,unknown,2.2,3
38260,Guayquiraró - La Grela,,sat2,-30.3463888888889,-59.3005555555556,2024-09-14T00:00:00,2026-08-29T00:00:00,30091,Guayquiraró- La Grela,Guayquiraró,coords,0.02,unknown,2.2,3
36963,Hielo - Confluencia,,sat2,-43.5166666666667,-71.6091666666667,2025-08-20T16:00:00,2026-08-30T20:00:00,,,,,,,1.0,3
38262,Iguazú - Pto. Iguazú,,sat2,-25.5933333333333,-54.58,2024-09-14T00:00:00,2026-08-29T00:00:00,6493,Iguazú - Puerto Iguazú,Iguazú,coords,0.02,unknown,25.3,2
36968,Iruya - San José,,sat2,-22.8641666666667,-64.7052777777778,2024-09-13T16:00:00,2026-08-30T21:00:00,6329,Iruya - San José,Iruya,coords,0.22,unknown,2.0,3
38263,Iruya - San José,,sat2,-22.8641666666667,-64.7052777777778,2024-09-14T00:00:00,2026-08-29T00:00:00,6329,Iruya - San José,Iruya,coords,0.22,unknown,2.0,3
36986,Lag. La Picasa-Aguas AbajoRN33,,sat2,-34.3619444444444,-62.7386111111111,2024-09-13T16:00:00,2026-08-30T21:00:00,,,,,,,2.0,3
38264,Lag. La Picasa-Aguas AbajoRN33,,sat2,-34.3619444444444,-62.7386111111111,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
36996,Laguna Melincué - Melincué,,sat2,-33.6508333333333,-61.4552777777778,2024-09-13T16:00:00,2026-08-30T21:00:00,,,,,,,2.0,3
38266,Laguna Melincué - Melincué,,sat2,-33.6508333333333,-61.4552777777778,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
37013,Las Conchas - La Punilla RP44,,sat2,-26.0119444444444,-65.8230555555556,2024-09-13T16:00:00,2026-08-30T16:00:00,6365,De las Conchas - La Punilla,De las Conchas,coords,0.01,unknown,17.6,2
38268,Las Conchas - La Punilla RP44,,sat2,-26.0119444444444,-65.8230555555556,2024-09-14T00:00:00,2026-08-29T00:00:00,6365,De las Conchas - La Punilla,De las Conchas,coords,0.01,unknown,17.6,2
37016,Manso - Inferior,,sat2,-41.5561111111111,-71.7138888888889,2024-09-13T20:00:00,2026-08-29T20:00:00,,,,,,,2.0,3
38269,Manso - Inferior,,sat2,-41.5561111111111,-71.7138888888889,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
