series_id,station_id,station,river,variable,var_id,unit,network,procedure,lat,lon,live,n_obs,last_seen,percentiles
26538,2221,Atuel - Puesto Ugalde,,Altura hidrométrica media diaria,39,,sat2,,-35.9994444444444,-67.1852777777778,,,,
6810,2222,Canal de Dios - Salado,,Altura hidrométrica,2,,sat2,,-25.6105555555556,-63.9488888888889,,,,
38353,2222,Canal de Dios - Salado,,Altura hidrométrica 4-horaria,101,,sat2,,-25.6105555555556,-63.9488888888889,,,,
38350,2223,Salado - Suncho Corral,,Altura hidrométrica 4-horaria,101,,sat2,,-27.9402777777778,-63.4397222222222,,,,
38368,2224,Salado - Añatuya RP Nº92,,Altura hidrométrica 4-horaria,101,,sat2,,-28.5033333333333,-62.8813888888889,False,0,,
6715,2225,*Senguerr -Pte Camino B. Pasto,,Altura hidrométrica,2,,sat2,,-45.5644444444444,-69.0672222222222,,,,
26543,2227,Salado - RN Nº02,,Altura hidrométrica media diaria,39,,sat2,,-35.9622222222222,-57.8519444444444,,,,
38337,2227,Salado - RN Nº02,,Altura hidrométrica 4-horaria,101,,sat2,,-35.9622222222222,-57.8519444444444,,,,
6928,2228,De las Vueltas,,Altura hidrométrica,2,,sat2,,-49.3433333333333,-72.8608333333333,,,,
38396,2228,De las Vueltas,,Altura hidrométrica 4-horaria,101,,sat2,,-49.3433333333333,-72.8608333333333,,,,
7058,2230,Arroyo San Juan - MeteoVARELA,Arroyo San Juan,Altura hidrométrica,2,,ina_delta,,-34.8074531496048,-58.2301426802177,False,0,,
7059,2231,Nuevo Berlín,Uruguay,Altura hidrométrica,2,,alturas_varios,,-32.979836,-58.061997,False,0,,
7060,2232,Paysandú,Uruguay,Altura hidrométrica,2,,alturas_varios,,-32.313646,-58.102575,,,,
7061,2233,Concepción del Uruguay - CARU,Uruguay,Altura hidrométrica,2,,alturas_varios,,-32.477173,-58.221219,False,0,,
26547,2355,Senguerr - Nacimiento,,Altura hidrométrica media diaria,39,,sat2,,-44.9583333333333,-71.3419444444444,True,2,2026-08-29T03:00:00.000Z,
38413,2355,Senguerr - Nacimiento,,Altura hidrométrica 4-horaria,101,,sat2,,-44.9583333333333,-71.3419444444444,,,,
7354,2356,Río Paraná Túnel,,Altura hidrométrica,2,,sat2,,-31.7197222222222,-60.5175,,,,
26548,2356,Río Paraná Túnel,,Altura hidrométrica media diaria,39,,sat2,,-31.7197222222222,-60.5175,,,,
7356,2357,Sistema Setúbal - Santa Fe - L,,Altura hidrométrica,2,,sat2,,-31.6302777777778,-60.6777777777778,,,,
26549,2357,Sistema Setúbal - Santa Fe - L,,Altura hidrométrica media diaria,39,,sat2,,-31.6302777777778,-60.6777777777778,,,,
26550,2593,Arenales - La Maroma,,Altura hidrométrica media diaria,39,,sat2,,-25.1538888888889,-65.42,,,,
38415,2593,Arenales - La Maroma,,Altura hidrométrica 4-horaria,101,,sat2,,-25.1538888888889,-65.42,,,,
8242,2606,Gualjaina - Gualjaina,,Altura hidrométrica,2,,sat2,,-42.6513888888889,-70.4355555555556,,,,
38301,2606,Gualjaina - Gualjaina,,Altura hidrométrica 4-horaria,101,,sat2,,-42.6513888888889,-70.4355555555556,,,,
